source	target	note	status
努力と信念の白騎士	努力与信念的白骑士	新字典	done
邪神に一目惚れした優等生聖神官	对邪神一见钟情的优等生圣神官	新字典	done
人を癒やさずにはいられないダークエルフィン	不禁想要治愈他人的暗黑艾尔芙族	新字典	done
ちっちゃな大魔術師	小小的大魔术师	新字典	done
冥王にすべてを捧げるクールな召使い	为冥王献上一切的冷酷仆人	新字典	done
東の国からやってきた、のんびりサムライ	来自东方国度的悠闲武士	新字典	done
仲間を守る鉄壁の騎士（ただしドＭ）	守护同伴的铁壁骑士（但是抖M）	新字典	done
いつでも笑顔の武道家シスター	永远面带笑容的武道家修女	新字典	done
冥王を虜にしたい希代の踊り子	想要俘获冥王的稀世舞者	新字典	done
錬金術で貧乳克服を夢見るお嬢様	梦想用炼金术克服贫乳的大小姐	新字典	done
どこかミステリアスな不思議お姉さん	有些神秘莫测的不可思议姐姐	新字典	done
運命の旦那さまに出会ったハイエルフィン	遇见命运夫君的高等艾尔芬族	新字典	done
誇り高き森のエルフィン	高傲的森林艾尔芬族	新字典	done
火力第一主義のちっちゃな義勇兵	火力第一主义的小小义勇兵	新字典	done
無垢な笑顔で鉈をふるうドワリン	以无垢笑容挥舞柴刀的矮人族	新字典	done
もふもふ尻尾の野良ネコシーフ	拥有蓬松尾巴的野猫盗贼	新字典	done
ハイテンションのウサ耳ヒーラー	情绪高涨的兔耳治愈师	新字典	done
純なコミュ強JKヴァンピール	纯情社牛JK吸血族	新字典	done
実は寂しがり屋の「火山の暴君」	实则怕寂寞的「火山的暴君」	新字典	done
歌と読書にしか興味がない天才歌姫	只对歌与读书感兴趣的天才歌姬	新字典	done
平和を愛する姉姫	爱好和平的姐姐公主	新字典	done
沈着冷静な妹姫	沉着冷静的妹妹公主	新字典	done
人生に迷う勝ち気な堕天使	对人生迷茫的好强堕天使	新字典	done
力を愛する放埒の王	热爱力量的放纵之王	新字典	done
贖罪の非常勤講師	赎罪的兼职讲师	新字典	done
緑の家族を統べし女王	统率绿色家族的女王	新字典	done
冥王を慕う刻を司る天上人	仰慕冥王掌管时间的原天上人	新字典	done
苦労と不運の女教皇	辛劳与不幸的女教皇	新字典	done
押しかけアイリス	不请自来的爱丽丝	新字典	done
《深淵》の姫君	《深渊》的公主	新字典	done
神出鬼没なシラズの泉の精霊	神出鬼没的忘知之泉的精灵	新字典	done
天上人に挑む誓約者	挑战天上人的誓约者	新字典	done
地球に留学に来た月のお姫様	来到地球留学的月亮公主	新字典	done
明るく素直で料理上手な義妹	开朗率直擅长料理的义妹	新字典	done
楽しい学園を夢見る図書部の部長	梦想愉快校园生活的图书部部长	新字典	done
図書部のいじられムードメーカー	图书部被调侃的气氛制造者	新字典	done
学業・運動共に優れた生徒会副会長	学业运动双优的学生会副会长	新字典	done
気配り上手でしっかり者の幼なじみ	体贴周到的青梅竹马	新字典	done
誇り高き孤高の皇姫	高傲孤高的皇姬	新字典	done
みんなに愛される犬系聖職者	受大家喜爱的犬系圣职者	新字典	done
羽化病に冒されながらも明るい少女	身患羽化病却依然开朗的少女	新字典	done
国を背負う小さな女王	背负国家的小小女王	新字典	done
犬を愛する生真面目な司祭	深爱犬只的一本正经司祭	新字典	done
野良猫を思わせる謎の少女	让人联想到野猫的神秘少女	新字典	done
冥界の王	冥界之王	新字典	done
世界樹の娘	世界树的女儿	新字典	done
人間界で保護された冥界の癒やし担当	在人间界被保护的冥界治愈担当	新字典	done
お情け無用の害獣軍団	毫不留情的害兽军团	新字典	done
紅蓮に巣食う異形の者たち	栖身红莲的异形者们	新字典	done
忘却の悪霊と自失の傀儡	忘却的恶灵与自失的傀儡	新字典	done
秩序支配の幻像群	支配秩序的幻像群	新字典	done
最奥に蠢く闇	于最深处蠢动的黑暗	新字典	done
暴食無慈悲な猛獣軍団	暴食无慈悲的猛兽军团	新字典	done
裏試練ボス2	里试炼Boss2	新字典	done
裏試練ボス3	里试炼Boss3	新字典	done
裏試練ボス4	里试炼Boss4	新字典	done
裏試練ボス5	里试炼Boss5	新字典	done
冥王	冥王	新字典	done
厄介冥王	棘手的冥王	新字典	done
幻影の冥王	幻影的冥王	新字典	done
操られているユー	被操纵的优	新字典	done
リリィ	莉莉	新字典	done
ちびリリィ	小小莉莉	新字典	done
ゼクト	赛克托	新字典	done
ゼクト（深淵）	赛克托（深渊）	新字典	done
ゼクト（13章）	赛克托（13章）	新字典	done
マリエラ（皇帝ミカエル）	玛丽艾拉（皇帝米迦勒）	新字典	done
マリエラ（９章・皇帝ミカエル）	玛丽艾拉（9章・皇帝米迦勒）	新字典	done
ナジャ	娜迦	新字典	done
ナジャ（8章9話）	娜迦（8章9话）	新字典	done
ナジャ（8章10話）	娜迦（8章10话）	新字典	done
アナスチガル	安娜丝奇卡尔	新字典	done
アナスチガル（深淵）	安娜丝奇卡尔（深渊）	新字典	done
マリエラ（天使ミカエル）	玛丽艾拉（天使米迦勒）	新字典	done
マリエラ（９章）	玛丽艾拉（9章）	新字典	done
【奈落】マリエラ	【奈落】玛丽艾拉	新字典	done
黒いユー	黑色优	新字典	done
黒いユー最終	黑色优最终	新字典	done
リディア	莉蒂娅	新字典	done
真・リディア	真・莉蒂娅	新字典	done
ギゼリック	吉泽莉克	新字典	done
グロス	古罗斯	新字典	done
スゴ肉兄弟	超级肌肉兄弟	新字典	done
スゴ肉兄弟（深淵）	超级肌肉兄弟（深渊）	新字典	done
スゴ肉兄弟（正月）	超级肌肉兄弟（正月）	新字典	done
【奈落】スゴ肉	【奈落】超级肌肉	新字典	done
教皇	教皇	新字典	done
教皇（深淵）	教皇（深渊）	新字典	done
リスティ	利斯缇	新字典	done
【奈落】リスティ	【奈落】利斯缇	新字典	done
刻を司る天上人(魂のみ)	掌管时间的原天上人(仅灵魂)	新字典	done
厄災	灾厄	新字典	done
厄災	灾厄	新字典	done
ゼロノス	泽洛诺斯	新字典	done
ゼロノス(18章8話）	泽洛诺斯(18章8话)	新字典	done
ゼロノス(18章9話）	泽洛诺斯(18章9话)	新字典	done
